country,Region,GDP per capita (current US$),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Pop. using improved sanitation facilities (urban/rural, %)"
Guinea-Bissau,WesternAfrica,530.0,80.4,5.6,,2.2,70.5,25,9.03
Guinea,WesternAfrica,703.9,65.7,5.6,,3.2,26.0,113,9.05
Guyana,SouthAmerica,4278.8,33.2,5.2,,3.2,84.0,7,1.37
Haiti,Caribbean,793.7,46.9,7.6,,,3.5,136,12.13
Honduras,CentralAmerica,2521.9,27.8,8.7,,5.9,42.1,105,3.26
Hungary,EasternEurope,12350.6,4.9,7.4,3.3,4.7,22.8,423,
Iceland,NorthernEurope,50936.0,1.6,8.9,3.8,7.8,0.5,284,
India,SouthernAsia,1614.2,41.3,4.7,0.7,3.8,23.7,23103,0.16
Indonesia,South-easternAsia,3346.5,25.0,2.8,0.2,3.6,50.6,19481,0.00
Iran (Islamic Republic of),SouthernAsia,5038.1,14.8,7.5,1.5,2.9,6.6,13291,0.02
Iraq,WesternAsia,4509.0,32.1,5.5,0.9,,1.9,6744,1.28
Ireland,NorthernEurope,60513.6,3.4,7.8,2.8,5.3,10.9,84,
Israel,WesternAsia,37129.4,3.4,7.8,3.6,5.8,7.5,313,
Italy,SouthernEurope,30462.4,3.0,9.2,3.9,4.1,31.4,1539,
Jamaica,Caribbean,5105.8,15.0,5.4,,5.5,31.0,8,0.42
Japan,EasternAsia,34628.7,2.2,10.2,2.3,3.6,68.5,1114,
Jordan,WesternAsia,4940.1,17.1,7.5,2.6,,1.1,7,6.20
Kazakhstan,CentralAsia,10312.1,14.1,4.4,3.3,2.8,1.2,7091,0.05
Kenya,EasternAfrica,1376.7,39.4,5.7,0.2,5.3,7.7,750,4.33
Kiribati,Micronesia,1442.9,46.9,10.2,0.2,,15.0,0,20.05
Kuwait,WesternAsia,29303.9,8.4,3.0,1.9,,0.4,6941,
Kyrgyzstan,CentralAsia,1106.4,19.6,6.5,1.9,5.5,3.4,80,12.16
Lao People's Democratic Republic,South-easternAsia,1850.2,47.3,1.9,0.2,3.3,80.5,72,4.03
Latvia,NorthernEurope,13704.1,6.5,5.9,3.2,5.3,54.0,108,
Lebanon,WesternAsia,8571.4,9.2,6.4,2.4,2.6,13.4,7,2.04
Lesotho,SouthernAfrica,940.6,59.8,10.6,,,1.6,31,4.11
Liberia,WesternAfrica,455.9,59.0,10.0,,2.8,43.7,73,62.13.00
Libya,NorthernAfrica,5488.2,24.3,5.0,2.1,,0.1,1505,0.51
Liechtenstein,WesternEurope,169491.8,,,,2.6,43.1,1,
Lithuania,NorthernEurope,14383.7,4.4,6.6,4.3,4.6,34.8,74,
Luxembourg,WesternEurope,100160.8,3.4,6.9,2.9,4.1,33.5,6,
Madagascar,EasternAfrica,401.8,36.8,3.0,0.1,2.1,21.5,129,7.05
Malawi,EasternAfrica,372.9,66.5,11.4,,5.6,33.6,89,16.53
Malaysia,South-easternAsia,9768.4,6.5,4.2,1.3,5.0,67.5,3738,0.00
Maldives,SouthernAsia,9446.5,9.0,13.7,,5.2,3.3,0,1.35
Mali,WesternAfrica,744.3,78.5,7.0,,3.7,3.9,55,9.45
Malta,SouthernEurope,23280.7,4.8,9.7,3.9,7.8,1.1,1,
Marshall Islands,Micronesia,3452.6,25.4,17.1,0.5,,70.2,0,24.11.00
Mauritania,WesternAfrica,1235.0,68.0,3.8,,2.9,0.2,31,5.02
Mauritius,EasternAfrica,9040.9,12.0,4.8,,4.9,19.0,10,1.07
Mexico,CentralAmerica,8980.9,18.8,6.3,2.1,5.3,34.0,8514,0.03
Micronesia (Federated States of),Micronesia,3015.2,33.2,13.7,,12.5,91.8,0,34.11.00
Monaco,WesternEurope,165870.6,,4.3,6.6,1.0,,,
Mongolia,EasternAsia,3973.4,22.8,4.7,2.9,4.6,8.1,677,2.21
Montenegro,SouthernEurope,6424.1,4.1,6.4,2.3,,61.5,29,2.44
Morocco,NorthernAfrica,2919.3,28.1,5.9,0.6,,12.6,78,1.51
Mozambique,EasternAfrica,529.2,67.3,7.0,0.1,6.5,48.5,779,12.54
Myanmar,South-easternAsia,1161.5,45.0,2.3,0.6,,45.3,1078,2.23
Namibia,SouthernAfrica,4673.6,36.4,,,,8.5,19,1.24
Nauru,Micronesia,18469.2,18.0,3.3,,,0.0,0,
Nepal,SouthernAsia,724.5,32.8,5.8,,3.7,25.4,451,6.13
Netherlands,WesternEurope,44332.1,3.5,10.9,3.4,5.5,11.1,2447,
New Caledonia,Melanesia,33965.7,13.0,,,,45.9,1,
New Zealand,Oceania,38294.3,4.4,11.0,2.9,6.4,38.6,783,
